dataset_name,modalities,processed_date
ds000001,"anat,func",2025-09-17T12:07:15.465701
ds000002,"anat,func",2025-09-17T12:07:15.466393
ds000003,"anat,func",2025-09-17T12:07:15.466493
ds000005,"anat,func",2025-09-17T12:07:15.466577
ds000008,"anat,func",2025-09-17T12:07:15.466652
ds000011,"anat,func",2025-09-17T12:07:15.466725
ds000051,"anat,func",2025-09-17T12:07:15.466796
ds000052,"anat,func",2025-09-17T12:07:15.466866
ds000101,"anat,func",2025-09-17T12:07:15.466936
ds000102,"anat,func",2025-09-17T12:07:15.467004
ds000105,"anat,func",2025-09-17T12:07:15.467084
ds000107,"anat,func",2025-09-17T12:07:15.467174
ds000109,"anat,func",2025-09-17T12:07:15.467259
ds000017,"anat,func",2025-09-17T12:07:15.467351
ds000122,"anat,func",2025-09-17T12:07:15.467436
ds001037,anat,2025-09-17T12:07:15.467522
ds001110,"anat,beh,func",2025-09-17T12:07:15.467607
ds001105,"anat,fmap,func",2025-09-17T12:07:15.467703
ds001131,"anat,func",2025-09-17T12:07:15.467788
ds001132,"anat,func",2025-09-17T12:07:15.467873
ds001145,"anat,func",2025-09-17T12:07:15.467961
ds001178,func,2025-09-17T12:07:15.468048
ds001247,"anat,fmap,func",2025-09-17T12:07:15.468132
ds001299,"anat,func",2025-09-17T12:07:15.468216
ds001306,"anat,func",2025-09-17T12:07:15.468289
ds000208,"anat,func",2025-09-17T12:07:15.468343
ds000248,"anat,meg",2025-09-17T12:07:15.468405
ds000138,func,2025-09-17T12:07:15.468471
ds000236,"anat,func",2025-09-17T12:07:15.468531
ds000174,anat,2025-09-17T12:07:15.468591
ds000116,"anat,func",2025-09-17T12:07:15.468653
ds000255,"anat,func",2025-09-17T12:07:15.468718
ds000157,"anat,func",2025-09-17T12:07:15.468777
ds000202,anat,2025-09-17T12:07:15.468846
ds000240,"anat,perf",2025-09-17T12:07:15.468905
ds000231,"anat,func",2025-09-17T12:07:15.468969
ds000235,"anat,func",2025-09-17T12:07:15.469039
ds000219,"anat,func",2025-09-17T12:07:15.469107
ds000200,"anat,func",2025-09-17T12:07:15.469166
ds000218,"anat,func",2025-09-17T12:07:15.469233
ds000234,"anat,func",2025-09-17T12:07:15.469296
ds000144,"anat,func",2025-09-17T12:07:15.469356
ds000120,"anat,func",2025-09-17T12:07:15.469420
ds000168,"anat,func",2025-09-17T12:07:15.469480
ds000205,"anat,func",2025-09-17T12:07:15.469536
ds000237,"anat,func",2025-09-17T12:07:15.469656
ds000245,"anat,func",2025-09-17T12:07:15.469758
ds000164,"anat,func",2025-09-17T12:07:15.469831
ds000222,"anat,beh",2025-09-17T12:07:15.469896
ds000229,"anat,func",2025-09-17T12:07:15.469957
ds000254,"anat,func",2025-09-17T12:07:15.470018
ds000214,"anat,func",2025-09-17T12:07:15.470080
ds000246,"anat,meg",2025-09-17T12:07:15.470138
ds000213,"anat,func",2025-09-17T12:07:15.470195
ds000239,anat,2025-09-17T12:07:15.470251
ds001338,"anat,func",2025-09-17T12:07:15.470308
ds001339,"anat,func",2025-09-17T12:07:15.470368
ds001344,"anat,func",2025-09-17T12:07:15.470424
ds000114,"anat,dwi,func",2025-09-17T12:07:15.470485
ds001357,"anat,func",2025-09-17T12:07:15.470548
ds001365,anat,2025-09-17T12:07:15.470605
ds001378,"anat,dwi",2025-09-17T12:07:15.470667
ds001386,"anat,func",2025-09-17T12:07:15.470731
ds001399,"anat,fmap,func",2025-09-17T12:07:15.470788
ds001420,"anat,pet",2025-09-17T12:07:15.470843
ds001421,"anat,pet",2025-09-17T12:07:15.470909
ds001419,"anat,dwi,func",2025-09-17T12:07:15.470968
ds001450,func,2025-09-17T12:07:15.471024
ds001021,"anat,dwi,func",2025-09-17T12:07:15.471083
ds001454,"anat,beh,fmap,func",2025-09-17T12:07:15.471146
ds000201,"anat,beh,fmap,func",2025-09-17T12:07:15.471201
ds001246,anat,2025-09-17T12:07:15.471254
ds001506,anat,2025-09-17T12:07:15.471309
ds001511,"anat,fmap,func",2025-09-17T12:07:15.471363
ds001510,"anat,fmap,func",2025-09-17T12:07:15.471421
ds001499,"fmap,func,tmp_dcm2bids",2025-09-17T12:07:15.471480
ds001486,"anat,func",2025-09-17T12:07:15.471543
ds000244,"anat,dwi,fmap,func",2025-09-17T12:07:15.471605
ds001517,"anat,func",2025-09-17T12:07:15.471661
ds001525,"anat,func",2025-09-17T12:07:15.471718
ds000117,"beh,meg",2025-09-17T12:07:15.471774
ds001529,func,2025-09-17T12:07:15.471828
ds001545,"anat,fmap,func",2025-09-17T12:07:15.471882
ds001534,"anat,func",2025-09-17T12:07:15.471937
ds001547,"anat,func,stat",2025-09-17T12:07:15.471991
ds001553,"anat,func",2025-09-17T12:07:15.472044
ds001555,"anat,func",2025-09-17T12:07:15.472098
ds001551,"anat,func",2025-09-17T12:07:15.472154
ds001566,"anat,func",2025-09-17T12:07:15.472208
ds001576,"anat,func",2025-09-17T12:07:15.472262
ds001583,"anat,func",2025-09-17T12:07:15.472319
ds001591,"anat,func",2025-09-17T12:07:15.472372
